Slug,Start date,End date,Organiser,Exhibitor,Delegation,Website,Alias
gda-2011,2011-12-12,2011-12-14,2,113,,https://www.gulfdefense.com/,1st Gulf Defense & Aerospace
gda-2013,2013-12-10,2013-12-12,2,85,,https://www.gulfdefense.com/,2nd Gulf Defense & Aerospace
gda-2015,2015-12-08,2015-12-10,2,,,https://www.gulfdefense.com/,3rd Gulf Defense & Aerospace
gda-2017,2017-12-12,2017-12-14,2,96,,https://www.gulfdefense.com/,4th Gulf Defense & Aerospace
gda-2019,2019-12-10,2019-12-12,2,190,,https://www.gulfdefense.com/,5th Gulf Defense & Aerospace
gda-2023,2023-12-05,2023-12-07,2,,,https://www.gulfdefense.com/,6th Gulf Defense & Aerospace
,,,,,,,
gis-2013,2013-07-16,2013-07-17,2,,,http://www.gisfarnborough.com/,Global Intelligent Systems 2013
,,,,,,,
iavs-2008,2008-01-22,2009-01-25,2,20,,http://www.site-members.com/lavsite/index.html,Light & Medium Armoured Vehicles 2008;International Armoured Vehicles 2008
iavs-2009,2009-02-02,2009-02-06,2,30,,http://www.site-members.com/LAV/index.php,Light & Medium Armoured Vehicles 2009;International Armoured Vehicles 2009
iavs-2010,2010-02-01,2010-02-05,1,31,,http://www.internationalarmouredvehicles.com,International Armoured Vehicles 2010
iavs-2011,2011-02-07,2011-02-11,1,84,,http://www.internationalarmouredvehicles.com,International Armoured Vehicles 2011
iavs-2012,2012-02-20,2012-02-23,2,56,,http://www.internationalarmouredvehicles.com http://internationalarmouredvehicles.wordpress.com,International Armoured Vehicles 2012
iavs-2013,2013-02-05,2013-02-08,2,46,,http://www.internationalarmouredvehicles.com http://internationalarmouredvehicles.wordpress.com,International Armoured Vehicles 2013
iavs-2014,2014-02-20,2014-02-23,2,13,,http://www.internationalarmouredvehicles.com http://internationalarmouredvehicles.wordpress.com,International Armoured Vehicles 2014
iavs-2015,2015-02-20,2015-02-23,2,34,,http://www.internationalarmouredvehicles.com http://internationalarmouredvehicles.wordpress.com,International Armoured Vehicles 2015
iavs-2016,2016-02-20,2016-02-23,2,44,,http://www.internationalarmouredvehicles.com,International Armoured Vehicles 2016
iavs-2017,2017-01-23,2017-01-26,2,194,,http://www.internationalarmouredvehicles.com,International Armoured Vehicles 2017
iavs-2018,2018-01-22,2018-01-25,2,56,,http://www.internationalarmouredvehicles.com,International Armoured Vehicles 2018
iavs-2019,2019-01-21,2019-01-24,2,59,,https://www.internationalarmouredvehicles.com,International Armoured Vehicles 2019
iavs-2020,2020-01-20,2020-01-23,2,249,46,https://www.internationalarmouredvehicles.com,International Armoured Vehicles 2020
